IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
162.159.0.47,4,4,0.00,84.23,77.24,SIN
162.159.27.250,4,4,0.00,82.18,75.25,SIN
198.41.211.193,4,4,0.00,87.03,70.79,SIN
162.159.38.241,4,4,0.00,75.51,66.09,NRT
162.159.45.27,4,4,0.00,78.24,64.11,NRT
162.159.42.23,4,4,0.00,81.32,62.26,SIN
108.162.198.185,4,4,0.00,78.88,62.20,NRT
162.159.58.169,4,4,0.00,83.74,61.50,SIN
162.159.33.214,4,4,0.00,83.04,60.38,SIN
162.159.62.237,4,4,0.00,83.96,57.13,SIN
162.159.12.108,4,4,0.00,87.22,46.33,SIN
162.159.1.107,4,4,0.00,80.04,44.47,SIN
162.159.48.230,4,4,0.00,84.11,28.33,SIN
162.159.44.66,4,4,0.00,86.14,25.09,NRT
173.245.59.155,4,4,0.00,85.52,22.76,SIN
162.159.49.13,4,4,0.00,82.79,15.30,SIN
108.162.194.171,4,4,0.00,87.14,10.92,SIN
162.159.34.219,4,4,0.00,86.19,8.59,SIN
162.159.15.57,4,4,0.00,85.29,5.02,SIN
108.162.192.153,4,4,0.00,85.80,5.00,SIN
